tool_a,tool_b,n_functions_both_real_verdict,n_agree,n_disagree,agreement_pct
t2,koat,6,6,0,100.0
t2,aprove_c,11,11,0,100.0
t2,muval_c,10,10,0,100.0
t2,verymax,10,10,0,100.0
koat,aprove_c,6,6,0,100.0
koat,muval_c,6,6,0,100.0
koat,verymax,6,6,0,100.0
aprove_c,muval_c,12,12,0,100.0
aprove_c,verymax,11,11,0,100.0
muval_c,verymax,11,11,0,100.0
