tool,format_tier,terminating,non-terminating,genuine-unknown,timeout,tool-error,TOTAL
aprove_c,c,15,0,7,0,21,43
koat,koat,6,0,0,0,37,43
muval_c,c,29,1,0,0,13,43
t2,t2,11,0,30,0,2,43
verymax,t2,11,0,2,1,29,43
