Category,Count,%
NO_LOOP,1435,72.9
NON_INTEGER_LOOP,288,14.6
RECURSION,156,7.9
INT_LOOP_TRANSLATABLE_CFG,43,2.2
INT_LOOP_COMPLEX,21,1.1
PARSE_ERROR,20,1.0
INT_LOOP_TRANSLATABLE,5,0.3
